,GENDER,RACE,AGE_GROUP,COUNTY,VIOLENT,PROPERTY,F_DRUGOFF,F_SEXOFF,F_ALLOTHER,F_TOTAL,M_TOTAL,S_TOTAL
92452,Male,Black,18 to 19,Marin County,3,3,0,2,0,8,6,0
92453,Male,Black,18 to 19,Mendocino County,2,0,0,0,0,2,0,0
92454,Male,Black,18 to 19,Merced County,5,2,0,0,6,13,19,0
92455,Male,Black,18 to 19,Monterey County,3,4,0,0,2,9,10,0
92456,Male,Black,18 to 19,Napa County,4,2,0,0,4,10,9,0
92457,Male,Black,18 to 19,Nevada County,2,0,0,0,0,2,0,0
92458,Male,Black,18 to 19,Orange County,23,39,4,0,8,74,79,0
92459,Male,Black,18 to 19,Placer County,8,4,0,1,9,22,6,0
92460,Male,Black,18 to 19,Plumas County,0,0,0,0,0,0,1,0
92461,Male,Black,18 to 19,Riverside County,58,39,5,4,26,132,82,0
92462,Male,Black,18 to 19,Sacramento County,68,41,12,3,61,185,100,0
92463,Male,Black,18 to 19,San Benito County,1,1,0,0,2,4,1,0
92464,Male,Black,18 to 19,San Bernardino County,122,84,10,5,41,262,177,0
92465,Male,Black,18 to 19,San Diego County,70,50,4,0,48,172,152,0
92466,Male,Black,18 to 19,San Francisco County,38,57,7,0,45,147,39,0
92467,Male,Black,18 to 19,San Joaquin County,37,13,5,3,32,90,59,0
92468,Male,Black,18 to 19,San Luis Obispo County,1,0,0,1,0,2,13,0
92469,Male,Black,18 to 19,San Mateo County,12,10,2,0,11,35,34,0
92470,Male,Black,18 to 19,Santa Barbara County,3,4,0,1,2,10,28,0
92471,Male,Black,18 to 19,Santa Clara County,19,13,1,1,8,42,41,0
92472,Male,Black,18 to 19,Santa Cruz County,2,0,0,0,2,4,8,0
92473,Male,Black,18 to 19,Shasta County,2,2,0,0,0,4,4,0
92474,Male,Black,18 to 19,Siskiyou County,0,0,0,0,1,1,0,0
92475,Male,Black,18 to 19,Solano County,25,25,2,1,35,88,60,0
92476,Male,Black,18 to 19,Sonoma County,8,2,2,0,5,17,30,0
92477,Male,Black,18 to 19,Stanislaus County,20,4,3,0,7,34,27,0
92478,Male,Black,18 to 19,Sutter County,5,0,0,0,0,5,2,0
92479,Male,Black,18 to 19,Tehama County,0,1,0,1,0,2,1,0
92480,Male,Black,18 to 19,Trinity County,0,0,1,0,0,1,1,0
92481,Male,Black,18 to 19,Tulare County,6,2,1,0,2,11,16,0
92482,Male,Black,18 to 19,Ventura County,6,13,1,0,2,22,20,0
92483,Male,Black,18 to 19,Yolo County,3,8,0,0,0,11,5,0
92484,Male,Black,18 to 19,Yuba County,0,2,0,0,1,3,0,0
92485,Male,Black,20 to 29,Alameda County,432,275,91,19,375,1192,1705,0
92486,Male,Black,20 to 29,Alpine County,0,0,0,0,0,0,0,0
92487,Male,Black,20 to 29,Amador County,1,0,0,0,1,2,4,0
92488,Male,Black,20 to 29,Butte County,15,6,2,2,13,38,82,0
92489,Male,Black,20 to 29,Calaveras County,3,1,0,0,0,4,4,0
92490,Male,Black,20 to 29,Colusa County,0,0,0,0,2,2,12,0
92491,Male,Black,20 to 29,Contra Costa County,287,241,43,13,289,873,993,0
92492,Male,Black,20 to 29,Del Norte County,0,1,0,0,0,1,2,0
92493,Male,Black,20 to 29,El Dorado County,2,7,1,0,4,14,19,0
92494,Male,Black,20 to 29,Fresno County,222,58,16,6,157,459,686,0
92495,Male,Black,20 to 29,Glenn County,1,1,0,0,0,2,7,0
92496,Male,Black,20 to 29,Humboldt County,11,4,1,1,7,24,59,0
92497,Male,Black,20 to 29,Imperial County,4,3,0,0,2,9,41,0
92498,Male,Black,20 to 29,Inyo County,2,1,0,0,0,3,3,0
92499,Male,Black,20 to 29,Kern County,234,108,17,2,121,482,733,0
92500,Male,Black,20 to 29,Kings County,27,4,1,0,11,43,102,0
92501,Male,Black,20 to 29,Lake County,6,2,3,1,3,15,36,0
92502,Male,Black,20 to 29,Lassen County,0,2,1,0,0,3,6,0
92503,Male,Black,20 to 29,Los Angeles County,2184,1318,283,54,1534,5373,7277,0
92504,Male,Black,20 to 29,Madera County,10,2,2,1,4,19,53,0
92505,Male,Black,20 to 29,Marin County,24,24,10,2,14,74,100,0
92506,Male,Black,20 to 29,Mariposa County,2,0,1,0,0,3,3,0
92507,Male,Black,20 to 29,Mendocino County,6,0,1,0,1,8,23,0
92508,Male,Black,20 to 29,Merced County,37,7,3,0,22,69,130,0
92509,Male,Black,20 to 29,Modoc County,0,0,0,0,0,0,1,0
92510,Male,Black,20 to 29,Mono County,0,0,1,0,0,1,3,0
92511,Male,Black,20 to 29,Monterey County,19,11,4,2,12,48,115,0
92512,Male,Black,20 to 29,Napa County,8,13,3,1,45,70,59,0
92513,Male,Black,20 to 29,Nevada County,4,0,0,1,0,5,12,0
92514,Male,Black,20 to 29,Orange County,157,158,21,26,113,475,1035,0
92515,Male,Black,20 to 29,Placer County,31,25,4,5,49,114,85,0
92516,Male,Black,20 to 29,Plumas County,1,0,1,0,0,2,9,0
92517,Male,Black,20 to 29,Riverside County,305,146,33,7,165,656,929,0
92518,Male,Black,20 to 29,Sacramento County,597,241,87,24,430,1379,1471,0
92519,Male,Black,20 to 29,San Benito County,1,0,0,0,0,1,5,0
92520,Male,Black,20 to 29,San Bernardino County,670,387,85,39,339,1520,2021,0
92521,Male,Black,20 to 29,San Diego County,472,199,71,17,318,1077,2045,0
92522,Male,Black,20 to 29,San Francisco County,173,136,25,3,342,679,555,0
92523,Male,Black,20 to 29,San Joaquin County,218,57,25,8,151,459,527,0
92524,Male,Black,20 to 29,San Luis Obispo County,10,4,0,1,7,22,115,0
92525,Male,Black,20 to 29,San Mateo County,54,62,10,1,58,185,397,0
92526,Male,Black,20 to 29,Santa Barbara County,30,17,11,2,15,75,171,0
92527,Male,Black,20 to 29,Santa Clara County,123,95,23,13,71,325,506,0
92528,Male,Black,20 to 29,Santa Cruz County,7,8,2,1,11,29,113,0
92529,Male,Black,20 to 29,Shasta County,15,6,4,0,5,30,66,0
92530,Male,Black,20 to 29,Siskiyou County,3,1,3,0,2,9,17,0
92531,Male,Black,20 to 29,Solano County,161,92,30,9,160,452,630,0
92532,Male,Black,20 to 29,Sonoma County,38,14,0,1,16,69,152,0
92533,Male,Black,20 to 29,Stanislaus County,78,24,26,2,46,176,276,0
92534,Male,Black,20 to 29,Sutter County,13,1,4,1,7,26,68,0
92535,Male,Black,20 to 29,Tehama County,3,0,1,0,1,5,9,0
92536,Male,Black,20 to 29,Trinity County,0,0,1,0,3,4,2,0
92537,Male,Black,20 to 29,Tulare County,37,17,7,2,31,94,145,0
92538,Male,Black,20 to 29,Tuolumne County,4,1,0,0,2,7,8,0
92539,Male,Black,20 to 29,Ventura County,42,51,8,4,30,135,270,0
92540,Male,Black,20 to 29,Yolo County,31,17,2,1,25,76,121,0
92541,Male,Black,20 to 29,Yuba County,18,6,4,1,6,35,31,0
92542,Male,Black,30 to 39,Alameda County,319,232,93,17,238,899,1764,0
92543,Male,Black,30 to 39,Alpine County,0,0,0,0,0,0,1,0
92544,Male,Black,30 to 39,Amador County,0,0,0,0,0,0,3,0
92545,Male,Black,30 to 39,Butte County,17,2,3,1,16,39,77,0
92546,Male,Black,30 to 39,Calaveras County,4,0,0,0,1,5,4,0
92547,Male,Black,30 to 39,Colusa County,0,0,0,0,4,4,10,0
92548,Male,Black,30 to 39,Contra Costa County,200,178,47,13,223,661,906,0
92549,Male,Black,30 to 39,Del Norte County,0,0,1,1,2,4,4,0
92550,Male,Black,30 to 39,El Dorado County,4,4,3,2,4,17,19,0
92551,Male,Black,30 to 39,Fresno County,154,38,20,5,100,317,691,0
92552,Male,Black,30 to 39,Glenn County,0,0,0,0,1,1,2,0
92553,Male,Black,30 to 39,Humboldt County,11,4,2,1,8,26,60,0
92554,Male,Black,30 to 39,Imperial County,4,4,0,0,5,13,37,0
92555,Male,Black,30 to 39,Inyo County,2,0,0,0,0,2,3,0
92556,Male,Black,30 to 39,Kern County,133,70,24,6,80,313,688,0
92557,Male,Black,30 to 39,Kings County,19,5,1,2,22,49,131,0
92558,Male,Black,30 to 39,Lake County,6,3,0,0,4,13,44,0
92559,Male,Black,30 to 39,Lassen County,0,0,0,0,0,0,5,0
92560,Male,Black,30 to 39,Los Angeles County,1418,744,300,45,1066,3573,6305,0
92561,Male,Black,30 to 39,Madera County,10,3,4,0,10,27,41,0
92562,Male,Black,30 to 39,Marin County,6,10,2,1,10,29,101,0
92563,Male,Black,30 to 39,Mariposa County,0,2,0,0,0,2,0,0
92564,Male,Black,30 to 39,Mendocino County,2,1,1,0,2,6,18,0
92565,Male,Black,30 to 39,Merced County,20,8,4,1,13,46,116,0
92566,Male,Black,30 to 39,Modoc County,1,0,0,0,1,2,0,0
92567,Male,Black,30 to 39,Mono County,0,0,0,0,0,0,2,0
92568,Male,Black,30 to 39,Monterey County,16,9,4,1,13,43,133,0
92569,Male,Black,30 to 39,Napa County,3,7,3,0,23,36,64,0
92570,Male,Black,30 to 39,Nevada County,0,1,1,0,3,5,1,0
92571,Male,Black,30 to 39,Orange County,77,69,15,12,64,237,699,0
92572,Male,Black,30 to 39,Placer County,16,16,2,1,24,59,71,0
92573,Male,Black,30 to 39,Plumas County,1,0,0,0,1,2,0,0
92574,Male,Black,30 to 39,Riverside County,213,80,52,8,140,493,879,0
92575,Male,Black,30 to 39,Sacramento County,359,196,70,12,313,950,1435,0
92576,Male,Black,30 to 39,San Benito County,1,0,0,0,0,1,2,0
92577,Male,Black,30 to 39,San Bernardino County,445,237,83,20,252,1037,1766,0
92578,Male,Black,30 to 39,San Diego County,334,147,62,14,311,868,1853,0
92579,Male,Black,30 to 39,San Francisco County,128,92,36,2,286,544,484,0
92580,Male,Black,30 to 39,San Joaquin County,140,51,22,8,115,336,565,0
92581,Male,Black,30 to 39,San Luis Obispo County,13,8,2,1,6,30,107,0
92582,Male,Black,30 to 39,San Mateo County,43,32,5,1,26,107,380,0
92583,Male,Black,30 to 39,Santa Barbara County,15,9,5,2,14,45,152,0
92584,Male,Black,30 to 39,Santa Clara County,110,67,15,9,67,268,594,0
92585,Male,Black,30 to 39,Santa Cruz County,13,3,1,1,11,29,100,0
92586,Male,Black,30 to 39,Shasta County,12,6,0,1,10,29,71,0
92587,Male,Black,30 to 39,Siskiyou County,7,0,3,0,1,11,15,0
92588,Male,Black,30 to 39,Solano County,126,93,32,4,108,363,656,0
92589,Male,Black,30 to 39,Sonoma County,26,13,4,0,25,68,249,0
92590,Male,Black,30 to 39,Stanislaus County,51,24,20,6,44,145,260,0
92591,Male,Black,30 to 39,Sutter County,8,2,0,0,5,15,40,0
92592,Male,Black,30 to 39,Tehama County,4,0,1,0,4,9,9,0
92593,Male,Black,30 to 39,Trinity County,0,0,3,0,5,8,2,0
92594,Male,Black,30 to 39,Tulare County,33,6,8,2,16,65,153,0
92595,Male,Black,30 to 39,Tuolumne County,3,0,0,0,1,4,7,0
92596,Male,Black,30 to 39,Ventura County,17,9,11,0,29,66,197,0
92597,Male,Black,30 to 39,Yolo County,28,10,5,0,18,61,101,0
92598,Male,Black,30 to 39,Yuba County,8,5,1,0,6,20,33,0
92599,Male,Black,40 to 69,Alameda County,387,323,168,30,246,1154,2642,0
92600,Male,Black,40 to 69,Alpine County,0,0,0,0,1,1,0,0
92601,Male,Black,40 to 69,Amador County,0,0,0,0,0,0,6,0
92602,Male,Black,40 to 69,Butte County,6,3,6,3,18,36,104,0
92603,Male,Black,40 to 69,Calaveras County,1,0,0,0,0,1,7,0
92604,Male,Black,40 to 69,Colusa County,0,0,0,0,1,1,11,0
92605,Male,Black,40 to 69,Contra Costa County,213,174,104,20,204,715,1214,0
92606,Male,Black,40 to 69,Del Norte County,0,0,0,0,0,0,10,0
92607,Male,Black,40 to 69,El Dorado County,3,0,1,1,2,7,20,0
92608,Male,Black,40 to 69,Fresno County,121,35,18,12,82,268,816,0
92609,Male,Black,40 to 69,Glenn County,0,0,0,0,1,1,8,0
92610,Male,Black,40 to 69,Humboldt County,11,1,5,3,10,30,50,0
92611,Male,Black,40 to 69,Imperial County,4,4,2,0,2,12,70,0
92612,Male,Black,40 to 69,Inyo County,1,0,0,0,0,1,2,0
92613,Male,Black,40 to 69,Kern County,111,49,24,7,74,265,831,0
92614,Male,Black,40 to 69,Kings County,10,5,2,1,19,37,152,0
92615,Male,Black,40 to 69,Lake County,4,5,3,1,2,15,57,0
92616,Male,Black,40 to 69,Lassen County,2,0,1,0,0,3,2,0
92617,Male,Black,40 to 69,Los Angeles County,1832,641,579,83,904,4039,9879,0
92618,Male,Black,40 to 69,Madera County,11,2,4,0,6,23,54,0
92619,Male,Black,40 to 69,Marin County,21,17,7,1,12,58,217,0
92620,Male,Black,40 to 69,Mendocino County,2,3,1,0,3,9,23,0
92621,Male,Black,40 to 69,Merced County,23,3,3,1,16,46,214,0
92622,Male,Black,40 to 69,Modoc County,0,0,0,0,1,1,7,0
92623,Male,Black,40 to 69,Mono County,0,0,0,0,0,0,1,0
92624,Male,Black,40 to 69,Monterey County,26,5,5,4,17,57,155,0
92625,Male,Black,40 to 69,Napa County,2,8,4,3,11,28,56,0
92626,Male,Black,40 to 69,Nevada County,3,0,0,0,0,3,12,0
92627,Male,Black,40 to 69,Orange County,90,54,30,6,57,237,859,0
92628,Male,Black,40 to 69,Placer County,11,11,6,2,15,45,103,0
92629,Male,Black,40 to 69,Plumas County,0,0,2,0,0,2,8,0
92630,Male,Black,40 to 69,Riverside County,175,77,32,16,96,396,867,0
92631,Male,Black,40 to 69,Sacramento County,398,150,130,43,313,1034,1727,0
92632,Male,Black,40 to 69,San Benito County,1,1,0,1,0,3,6,0
92633,Male,Black,40 to 69,San Bernardino County,387,172,109,26,253,947,2069,0
92634,Male,Black,40 to 69,San Diego County,349,124,176,59,402,1110,3149,0
92635,Male,Black,40 to 69,San Francisco County,222,95,93,4,430,844,917,0
92636,Male,Black,40 to 69,San Joaquin County,119,44,29,6,90,288,629,0
92637,Male,Black,40 to 69,San Luis Obispo County,15,2,3,1,4,25,116,0
92638,Male,Black,40 to 69,San Mateo County,57,40,20,4,63,184,716,0
92639,Male,Black,40 to 69,Santa Barbara County,27,7,8,0,11,53,257,0
92640,Male,Black,40 to 69,Santa Clara County,135,56,38,22,67,318,938,0
92641,Male,Black,40 to 69,Santa Cruz County,8,8,3,2,11,32,94,0
92642,Male,Black,40 to 69,Shasta County,7,2,2,0,21,32,94,0
92643,Male,Black,40 to 69,Sierra County,0,0,0,0,0,0,1,0
92644,Male,Black,40 to 69,Siskiyou County,1,1,0,0,1,3,18,0
92645,Male,Black,40 to 69,Solano County,131,72,54,8,88,353,823,0
92646,Male,Black,40 to 69,Sonoma County,39,13,9,2,22,85,342,0
92647,Male,Black,40 to 69,Stanislaus County,59,18,35,9,44,165,343,0
92648,Male,Black,40 to 69,Sutter County,6,4,1,1,7,19,50,0
92649,Male,Black,40 to 69,Tehama County,1,0,1,0,1,3,10,0
92650,Male,Black,40 to 69,Trinity County,0,0,0,0,1,1,2,0
92651,Male,Black,40 to 69,Tulare County,52,11,13,2,26,104,231,0
92652,Male,Black,40 to 69,Tuolumne County,0,0,0,0,1,1,8,0
92653,Male,Black,40 to 69,Ventura County,30,16,9,2,26,83,358,0
92654,Male,Black,40 to 69,Yolo County,18,9,8,2,16,53,149,0
92655,Male,Black,40 to 69,Yuba County,14,3,11,0,7,35,33,0
92656,Male,Black,70 and over,Alameda County,5,3,0,0,1,9,33,0
92657,Male,Black,70 and over,Contra Costa County,0,2,0,2,1,5,11,0
92658,Male,Black,70 and over,Fresno County,1,0,0,0,1,2,8,0
92659,Male,Black,70 and over,Kern County,0,0,0,0,0,0,8,0
92660,Male,Black,70 and over,Kings County,1,0,0,0,0,1,0,0
92661,Male,Black,70 and over,Lake County,0,0,1,0,0,1,2,0
92662,Male,Black,70 and over,Los Angeles County,52,3,7,2,9,73,197,0
92663,Male,Black,70 and over,Madera County,0,0,0,0,0,0,1,0
92664,Male,Black,70 and over,Marin County,0,0,0,0,1,1,3,0
92665,Male,Black,70 and over,Merced County,0,0,0,0,0,0,5,0
92666,Male,Black,70 and over,Monterey County,1,0,0,0,0,1,3,0
92667,Male,Black,70 and over,Orange County,0,0,0,0,0,0,9,0
92668,Male,Black,70 and over,Placer County,0,0,0,0,0,0,1,0
92669,Male,Black,70 and over,Riverside County,4,0,0,0,1,5,17,0
92670,Male,Black,70 and over,Sacramento County,6,0,2,4,2,14,20,0
92671,Male,Black,70 and over,San Bernardino County,5,0,0,0,2,7,21,0
92672,Male,Black,70 and over,San Diego County,14,0,0,2,4,20,35,0
92673,Male,Black,70 and over,San Francisco County,3,1,2,0,1,7,16,0
92674,Male,Black,70 and over,San Joaquin County,2,0,0,0,1,3,10,0
92675,Male,Black,70 and over,San Luis Obispo County,2,0,0,0,0,2,5,0
92676,Male,Black,70 and over,San Mateo County,1,0,0,1,0,2,5,0
92677,Male,Black,70 and over,Santa Clara County,0,0,1,1,1,3,12,0
92678,Male,Black,70 and over,Santa Cruz County,0,0,0,0,0,0,1,0
92679,Male,Black,70 and over,Solano County,4,0,0,0,1,5,8,0
92680,Male,Black,70 and over,Sonoma County,0,0,0,0,0,0,10,0
92681,Male,Black,70 and over,Stanislaus County,0,0,0,0,0,0,6,0
92682,Male,Black,70 and over,Sutter County,1,0,0,0,0,1,0,0
92683,Male,Black,70 and over,Tulare County,0,0,1,0,0,1,4,0
92684,Male,Black,70 and over,Tuolumne County,0,0,0,0,0,0,0,0
92685,Male,Black,70 and over,Ventura County,0,0,0,0,0,0,1,0
92686,Male,Black,70 and over,Yolo County,0,0,0,0,0,0,0,0
92687,Male,Hispanic,Under 18,Alameda County,86,58,5,4,33,186,120,12
92688,Male,Hispanic,Under 18,Amador County,0,0,0,0,0,0,1,0
92689,Male,Hispanic,Under 18,Butte County,4,3,0,0,6,13,41,0
92690,Male,Hispanic,Under 18,Calaveras County,2,0,0,0,3,5,14,0
92691,Male,Hispanic,Under 18,Colusa County,1,0,0,0,0,1,13,0
92692,Male,Hispanic,Under 18,Contra Costa County,39,14,2,2,21,78,93,1
92693,Male,Hispanic,Under 18,Del Norte County,0,0,0,0,1,1,0,0
92694,Male,Hispanic,Under 18,El Dorado County,1,1,0,0,1,3,22,0
92695,Male,Hispanic,Under 18,Fresno County,165,77,12,10,69,333,637,12
92696,Male,Hispanic,Under 18,Glenn County,1,0,0,0,0,1,13,3
92697,Male,Hispanic,Under 18,Humboldt County,1,0,0,0,0,1,6,0
92698,Male,Hispanic,Under 18,Imperial County,20,5,1,2,15,43,85,3
92699,Male,Hispanic,Under 18,Inyo County,0,0,0,0,1,1,7,0
92700,Male,Hispanic,Under 18,Kern County,101,43,5,5,74,228,275,22
92701,Male,Hispanic,Under 18,Kings County,24,25,2,1,16,68,129,34
92702,Male,Hispanic,Under 18,Lake County,2,0,2,0,0,4,5,0
92703,Male,Hispanic,Under 18,Lassen County,1,0,0,0,2,3,0,0
92704,Male,Hispanic,Under 18,Los Angeles County,799,396,59,61,510,1825,1683,181
92705,Male,Hispanic,Under 18,Madera County,14,3,4,4,18,43,83,2
92706,Male,Hispanic,Under 18,Marin County,16,7,3,2,9,37,110,25
92707,Male,Hispanic,Under 18,Mendocino County,20,13,0,1,14,48,34,2
92708,Male,Hispanic,Under 18,Merced County,49,31,4,4,50,138,195,114
92709,Male,Hispanic,Under 18,Mono County,0,0,0,0,0,0,1,0
92710,Male,Hispanic,Under 18,Monterey County,64,38,5,11,44,162,247,50
92711,Male,Hispanic,Under 18,Napa County,8,3,2,0,11,24,53,3
92712,Male,Hispanic,Under 18,Nevada County,1,1,0,0,5,7,11,4
92713,Male,Hispanic,Under 18,Orange County,190,121,17,25,147,500,717,153
92714,Male,Hispanic,Under 18,Placer County,8,6,0,1,1,16,12,0
92715,Male,Hispanic,Under 18,Riverside County,124,67,16,3,63,273,354,52
92716,Male,Hispanic,Under 18,Sacramento County,36,35,5,2,34,112,104,13
92717,Male,Hispanic,Under 18,San Benito County,6,1,2,0,7,16,32,0
92718,Male,Hispanic,Under 18,San Bernardino County,233,165,24,43,158,623,498,285
92719,Male,Hispanic,Under 18,San Diego County,186,82,25,13,158,464,669,188
92720,Male,Hispanic,Under 18,San Francisco County,2,1,1,0,0,4,1,0
92721,Male,Hispanic,Under 18,San Joaquin County,90,46,11,7,49,203,170,1
92722,Male,Hispanic,Under 18,San Luis Obispo County,5,5,0,0,7,17,51,2
92723,Male,Hispanic,Under 18,San Mateo County,55,30,6,1,41,133,160,25
92724,Male,Hispanic,Under 18,Santa Barbara County,56,37,15,1,56,165,515,27
92725,Male,Hispanic,Under 18,Santa Clara County,211,302,26,18,92,649,523,61
92726,Male,Hispanic,Under 18,Santa Cruz County,26,11,3,1,34,75,120,6
92727,Male,Hispanic,Under 18,Shasta County,3,0,0,0,1,4,7,4
92728,Male,Hispanic,Under 18,Siskiyou County,0,0,0,0,0,0,0,0
92729,Male,Hispanic,Under 18,Solano County,21,13,1,1,11,47,125,6
92730,Male,Hispanic,Under 18,Sonoma County,34,17,5,3,17,76,162,6
92731,Male,Hispanic,Under 18,Stanislaus County,80,65,7,7,45,204,128,20
92732,Male,Hispanic,Under 18,Sutter County,6,4,0,1,5,16,28,0
92733,Male,Hispanic,Under 18,Tehama County,3,0,0,0,1,4,26,1
92734,Male,Hispanic,Under 18,Tulare County,75,48,9,6,52,190,389,143
92735,Male,Hispanic,Under 18,Tuolumne County,2,3,1,0,0,6,3,0
92736,Male,Hispanic,Under 18,Ventura County,96,62,11,2,79,250,502,210
92737,Male,Hispanic,Under 18,Yolo County,20,10,2,0,9,41,30,2
92738,Male,Hispanic,Under 18,Yuba County,8,0,1,0,4,13,18,0
92739,Male,Hispanic,18 to 19,Alameda County,69,44,13,2,54,182,240,0
92740,Male,Hispanic,18 to 19,Alpine County,0,0,0,0,0,0,0,0
92741,Male,Hispanic,18 to 19,Amador County,0,0,0,0,0,0,3,0
92742,Male,Hispanic,18 to 19,Butte County,7,2,0,0,7,16,63,0
92743,Male,Hispanic,18 to 19,Calaveras County,2,0,1,0,0,3,4,0
92744,Male,Hispanic,18 to 19,Colusa County,1,2,0,1,1,5,5,0
92745,Male,Hispanic,18 to 19,Contra Costa County,37,27,7,2,43,116,104,0
92746,Male,Hispanic,18 to 19,Del Norte County,0,0,0,0,0,0,1,0
92747,Male,Hispanic,18 to 19,El Dorado County,1,2,1,0,2,6,10,0
92748,Male,Hispanic,18 to 19,Fresno County,93,47,14,9,101,264,409,0
92749,Male,Hispanic,18 to 19,Glenn County,2,0,0,0,0,2,11,0
92750,Male,Hispanic,18 to 19,Humboldt County,2,1,0,0,3,6,14,0
92751,Male,Hispanic,18 to 19,Imperial County,15,7,9,3,4,38,108,0
92752,Male,Hispanic,18 to 19,Inyo County,1,0,0,0,0,1,7,0
